State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,102641674,98456038,104927522,109558122,108772493,107774495,108085329,111679382,106625328,111546623,107141367,103744803,90921786,89908570,95319989,101626200,101674453,103670309,104938754,109844848,109630220,113927092,120782359,125288546,123222442,130980881,137221268,134122751,133525606,135848198,142302750,133309972,138301049,139781270,141984129,143520721,145756273,147302459,139355305,119797558,132488047,129546189,122631371,120463436,122632268,119200889,113995134,108588384,112355471,106250752
AK,11347676,12635118,13419217,12489350,12777942,14522921,15967763,17948295,19480431,17470705,17380061,17042197,23912135,25917010,28626184,28980168,31393706,29745535,30225010,33297573,33922421,34455925,35836387,35694647,35544821,40029876,41106989,41217128,42236285,42864469,43575045,42548535,42736578,42890870,46193065,47485308,45417570,43653642,39079171,37283488,37137284,37085337,36155281,34049190,33919405,35027804,33406902,33726966,34514589,34259440
AZ,24903694,26995929,30176308,34446169,36734564,38219044,43774475,50497826,49282127,56143131,52868472,59885474,58470603,54158655,58521888,61074712,56277452,56379316,59577737,65483715,63088495,63946766,66791270,69068410,71791806,66731223,68582999,71722988,76724081,80630985,86642015,88854055,88269141,90486779,97287201,97291899,100496182,102361748,102611158,93863084,99486477,97661372,95453669,99308288,97293281,94978784,90867551,90470575,94095509,92537025
AR,36173291,35086617,37184888,40825565,39108839,36362464,38854677,41646458,42416141,40242466,37501833,42930452,42714418,47095635,44979914,49142954,50003472,47061572,50966304,51315178,50777456,49731789,51365853,50433968,54303079,57657467,60191688,59143381,60528634,62727468,63341272,62492533,61205500,62185737,62510771,60232476,62093372,63382697,64169813,61542343,66087436,67484337,66255250,68512147,68913761,59053365,62132498,64172116,70786146,65072202
CA,294336942,305797829,312685299,329250491,304438902,311453406,326872037,354453484,345218023,362036359,344382049,334187936,298752686,293457271,315475996,320595491,306655306,335809781,344542479,359360238,360172644,348771406,352953080,342293302,359312093,348689961,349785825,352586769,362622333,366111428,382260359,385532786,384424320,374607821,392631754,389552111,397761571,402558911,384005100,370333376,356588090,342651288,348745644,349706025,345376602,351408516,353419152,356495386,358594718,358164373
CO,43013602,43587754,47463363,51063199,50476168,51797495,55130828,58310609,58440685,58890472,58870923,57817795,58980910,57155559,60925962,61520986,60726755,61396557,63759306,64977396,66538754,67764771,68810669,72492262,73008066,73049551,76009802,76141090,78416394,80465674,85517293,93292592,91606881,90994945,93542912,95743523,96617645,99339008,97386107,93322668,95887281,92505559,91206979,92137212,92772031,91303872,88433975,88772048,90061689,91727347
CT,47832131,45895029,47216124,48577598,45426248,41688715,43433558,43052111,43970116,42015159,40148167,35437689,35444821,34777477,37966763,37867280,39532880,39726486,42247828,43735291,40442140,39628783,40039845,38076273,37391752,36709377,39418935,42314134,39913686,41171013,42750124,41564617,40043849,42962849,44714469,43900455,40913291,40128337,37652584,35957341,36441015,35035085,34268133,34649393,34979519,36329049,34101623,33853973,37384241,36631662
DE,16071610,15928851,16013290,17243081,16657014,15542747,16156689,16139520,16183066,17076733,17488780,16342137,14697588,17670762,18431677,17368284,17150914,17918166,18511894,17774673,18036217,17888580,17783985,19141124,18472860,17514902,18154262,16847538,16195493,16400919,16679264,15995308,15882077,16608358,16618093,17402445,16235830,17116668,16179510,11921587,13079156,13865882,14586001,14035609,13776291,13905395,14421477,13766477,13989310,13589575
DC,13641372,11876730,11305430,11849885,9849029,7889425,7689987,7922631,7450036,6044967,5249542,4691201,5183268,5024634,5238046,4737042,5203832,5000090,4902577,5039459,4435920,4384497,4361857,4537572,4501591,4418957,4378016,4255312,4065811,4143338,4312928,4082703,4186318,3953150,4020629,3932855,3188979,3381095,3080918,3178572,3222492,3090670,2649876,2823475,3012816,2956881,2758230,2585116,2856068,2807514
FL,104351400,111499966,121678069,132239050,124293392,125937335,134519550,138182072,146100718,153414355,155792748,156049211,140016364,146140004,143714495,152356554,163399503,174008069,183906963,188184713,187520815,188497631,190981862,193733903,201206124,206824805,212505673,217810064,230329761,229825166,239058682,237374005,241166135,246522274,257119872,260019286,259061007,256703759,238527630,224694079,245461199,232428396,226974178,226981541,233030186,237383359,238869783,238416963,242009113,233552780
