Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
Southern Teton Area Rapid Transit,Jackson,WY,8R05-010,8R05-80188,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,MB,DO,19,,0,,  16.21 ,,  -   ,,  20.10 ,, 0 ,, 0 ,,853424,, 0 ,, 0 ,,52643,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,1058371,, 0 ,,0.0
Southern Teton Area Rapid Transit,Jackson,WY,8R05-010,8R05-80188,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  21 ,DR,DO,2,,0,,  3.30 ,,  -   ,,  0.80 ,, 0 ,, 0 ,,22516,, 0 ,, 0 ,,6816,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,5465,, 0 ,,0.0
University of Wyoming,Laramie,WY,8R05-006,8R05-80140,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  19 ,DR,DO,7,,0,,  7.67 ,,  -   ,,  3.95 ,, 0 ,, 0 ,,112285,, 0 ,, 0 ,,14638,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,57879,, 0 ,,0.0
University of Wyoming,Laramie,WY,8R05-006,8R05-80140,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  19 ,MB,DO,12,,0,,  7.81 ,,  -   ,,  20.12 ,, 0 ,, 0 ,,229595,, 0 ,, 0 ,,29402,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,591630,, 0 ,,0.0
Rehabilitation Enterprises of North Eastern Wyoming (RENEW),Sheridan,WY,8R05-045,8R05-80293,Private-Non-Profit Corporation,Rural Reporter, 0 ,  15 ,DR,DO,15,,0,,  13.82 ,,  -   ,,  4.19 ,, 0 ,, 0 ,,66386,, 0 ,, 0 ,,4802,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,20125,, 0 ,,0.0
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,8020,80020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 73,588 ",  14 ,DR,DO,6,,0,,  11.74 ,,  -   ,,  1.89 ,, 0 ,, 0 ,,110960,, 0 ,, 0 ,,9454,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,17837,, 0 ,,0.0
Fremont County Association of Governments,Riverton,WY,8R05-008,8R05-80121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  14 ,MB,DO,8,,0,,  16.72 ,,  -   ,,  3.24 ,, 0 ,, 0 ,,249964,, 0 ,, 0 ,,14954,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,48435,, 0 ,,0.0
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,8020,80020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 73,588 ",  14 ,MB,DO,8,,0,,  11.89 ,,  -   ,,  6.16 ,, 0 ,, 0 ,,306936,, 0 ,, 0 ,,25809,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,158950,, 0 ,,0.0
Fremont County Association of Governments,Riverton,WY,8R05-008,8R05-80121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  14 ,DR,DO,6,,0,,  35.39 ,,  -   ,,  2.48 ,, 0 ,, 0 ,,160261,, 0 ,, 0 ,,4528,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,11235,, 0 ,,0.0
City of Casper,Casper,WY,8013,80013,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 64,548 ",  13 ,MB,PT,6,,0,,  12.01 ,,  -   ,,  8.20 ,, 0 ,, 0 ,,234024,, 0 ,, 0 ,,19481,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,159799,, 0 ,,0.0
